                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0873,                 3.8352,                 4.2102,                  0.004,                      1,                0.02898,                0.01041,                 2.5176,                 3.4692,                 4.1589,                      0,                      0,                      0
                      2,                 3.0804,                 3.8704,                 4.2567,                0.00418,                      1,                0.03501,                0.01074,                 2.5179,                 3.4697,                 4.1589,              1.802e-05,              1.802e-05,              1.802e-05
                      3,                 3.0552,                 3.9703,                 4.2552,                0.00413,                      1,                0.02892,                0.01192,                 2.5183,                 3.4703,                 4.1588,              3.208e-05,              3.208e-05,              3.208e-05
                      4,                 3.0842,                 3.9888,                 4.2388,                0.00401,                      1,                0.03039,                0.01176,                 2.5186,                 3.4707,                 4.1588,              4.218e-05,              4.218e-05,              4.218e-05
                      5,                 2.9822,                 3.8425,                 4.2611,                  0.004,                      1,                 0.0337,                 0.0102,                 2.5189,                 3.4712,                 4.1588,              4.832e-05,              4.832e-05,              4.832e-05
                      6,                 2.8353,                 3.9306,                 4.2286,                0.00405,                      1,                0.03201,                0.01131,                 2.5193,                 3.4716,                 4.1587,               5.05e-05,               5.05e-05,               5.05e-05
                      7,                 2.7176,                 3.8924,                 4.1965,                0.00411,                      1,                 0.0326,                0.01356,                 2.5196,                 3.4719,                 4.1586,              4.872e-05,              4.872e-05,              4.872e-05
                      8,                 2.9753,                 3.7462,                 4.2186,                0.00417,                      1,                0.03505,                0.01532,                   2.52,                 3.4723,                 4.1585,              4.298e-05,              4.298e-05,              4.298e-05
                      9,                  2.911,                 3.8652,                  4.229,                0.00418,                      1,                0.06769,                0.02645,                 2.5203,                 3.4726,                 4.1585,              3.328e-05,              3.328e-05,              3.328e-05
                     10,                 2.8865,                 4.0052,                 4.3849,                 0.0042,                      1,                 0.0765,                0.02317,                 2.5207,                 3.4729,                 4.1584,              1.962e-05,              1.962e-05,              1.962e-05
